Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
UVXY,794301,600,16.49,298,16.48,16.48,783679,10622
VXX,574664,600,23.19,200,23.18,23.18,573359,1305
VIXY,412883,300,23.22,242,23.21,23.23,411564,1319
IEFA,300366,3303,69.68,7200,69.67,69.68,297690,2676
UVIX,295798,1980,3.77,2149,3.76,3.76,273041,22757
SVXY,239270,85,87.63,250,87.61,87.62,237903,1367
ITB,176963,100,88.75,400,88.73,88.76,176078,885
BBEU,136355,600,55.60,1900,55.59,55.61,136205,150
ARKG,135372,200,37.13,153,37.12,37.13,133117,2255
USHY,134722,9188,35.41,8000,35.40,35.41,111033,23689
EFV,127747,1101,51.13,1500,51.12,51.12,122637,5110
GOVT,100093,220567,22.74,235104,22.73,22.74,99611,482
TLTW,98134,2002,32.33,3,32.32,32.33,96973,1161
COWZ,97456,100,50.78,1000,50.77,50.79,97150,306
SVIX,97132,48,29.75,300,29.74,29.75,94966,2166
MOAT,81519,400,83.10,500,83.08,83.09,81505,14
FBCG,60982,1300,31.19,62,31.13,31.18,60982,0
USMV,57727,600,75.48,1700,75.47,75.48,57403,324
INDA,53869,919,44.54,6800,44.53,44.54,53867,2
VCEB,52521,600,61.80,1839,61.71,61.80,52521,0
EZU,47225,800,47.07,795,47.06,47.06,47025,200
VNM,41804,510,14.81,400,14.80,14.80,41804,0
HYD,41577,500,51.23,1243,51.21,51.22,35777,5800
AAAU,35542,25000,19.45,28500,19.44,19.45,35541,1
PAVE,34151,2633,32.10,51,32.09,32.09,33083,1068
BBJP,31889,300,53.17,2100,53.16,53.17,18998,12891
NOBL,29262,200,96.83,300,96.78,96.82,29262,0
QUAL,28849,300,139.95,200,139.93,139.98,27841,1008
IDV,28712,600,27.46,9500,27.45,27.46,28712,0
IGV,28705,225,359.06,24,359.00,359.03,28705,0
CALF,27889,200,43.45,100,43.43,43.46,27889,0
FLOT,25196,3140,50.82,5265,50.81,50.82,24369,827
BUFR,24743,100,25.60,100,25.56,25.58,24543,200
NUDM,24538,1800,29.72,1535,29.57,29.66,24538,0
LVHI,24368,87,28.02,50,27.99,28.03,24368,0
POCT,22403,2000,33.73,3200,33.70,33.73,22403,0
JCPB,22136,1300,46.25,1000,46.22,46.24,22136,0
SPYI,21808,1500,50.25,5,50.24,50.25,18708,3100
CBOE,21631,180,141.61,232,141.53,141.59,21631,0
ECH,20911,1600,31.07,219,31.05,31.05,20911,0
RDVI,20872,3500,22.68,4400,22.63,22.67,20872,0
IYZ,20461,9300,22.25,1125,22.24,22.25,20461,0
REM,19814,600,24.71,600,24.70,24.70,19774,40
OMFL,19220,100,50.35,400,50.34,50.34,18937,283
HEFA,19065,2100,30.90,5200,30.89,30.89,16065,3000
EFG,18153,300,96.78,350,96.75,96.79,18153,0
KNG,17901,3500,54.22,300,54.17,54.20,17901,0
BITX,17481,7400,13.59,1,13.57,13.59,9948,7533
ICSH,17474,13984,50.34,1701,50.33,50.33,17474,0
BBAX,15690,100,49.62,1500,49.58,49.62,15390,300
ITA,15180,300,116.89,4,116.85,116.87,15180,0
EEMV,14993,500,57.14,100,57.13,57.14,14993,0
ICVT,14778,500,77.94,600,77.91,77.93,14778,0
IFRA,13737,600,40.09,200,40.06,40.06,13737,0
DFIS,12829,2100,23.81,1646,23.80,23.81,12829,0
VFVA,12735,1100,106.60,200,106.51,106.56,11518,1217
VUSB,12603,3100,49.22,3352,49.21,49.22,12602,1
DFIC,11973,10200,25.19,4355,25.18,25.18,11973,0
DISV,11787,5200,25.12,3052,25.09,25.11,11787,0
IBHD,11342,100,23.13,300,23.11,23.14,11342,0
WTAI,10868,3400,19.90,100,19.86,19.90,10868,0
JMST,10815,4000,50.65,300,50.64,50.64,10815,0
TMFG,10252,1300,27.48,1800,27.41,27.42,10052,200
CNYA,9751,3100,31.20,1100,31.17,31.21,9751,0
IBML,9742,657,25.48,1000,25.47,25.48,9742,0
GCOW,9650,100,34.67,1260,34.65,34.67,9650,0
IBHJ,9600,100,25.38,100,25.35,25.37,9600,0
ICF,9174,400,56.31,1000,56.29,56.32,9174,0
